糖 B-DRUG_DOSAGE
衣 I-DRUG_DOSAGE
片 I-DRUG_DOSAGE
（ O
片 O
芯 O
重 O
0 O
. O
3 O
g O
） O
口 O
服 O
。 O
一 O
次 O
6 O
- O
8 O
片 O
， O
一 O
日 O
2 O
次 O
。 O
孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
慎 O
用 O
。 O
疏 B-DRUG_EFFICACY
肝 I-DRUG_EFFICACY
健 I-DRUG_EFFICACY
脾 I-DRUG_EFFICACY
， O
解 B-DRUG_EFFICACY
郁 I-DRUG_EFFICACY
清 I-DRUG_EFFICACY
热 I-DRUG_EFFICACY
， O
养 O
血 O
调 O
经 O
。 O
用 O
于 O
肝 B-SYNDROME
郁 I-SYNDROME
脾 I-SYNDROME
弱 I-SYNDROME
， O
血 B-SYNDROME
虚 I-SYNDROME
发 B-SYMPTOM
热 I-SYMPTOM
， O
两 B-SYMPTOM
胁 I-SYMPTOM
作 I-SYMPTOM
痛 I-SYMPTOM
， O
头 B-SYMPTOM
晕 I-SYMPTOM
目 B-SYMPTOM
眩 I-SYMPTOM
， O
月 B-SYMPTOM
经 I-SYMPTOM
不 I-SYMPTOM
调 I-SYMPTOM
尚 O
不 O
明 O
确 O
。 O
四 O
川 O
宝 O
兴 O
制 O
药 O
有 O
限 O
公 O
司 O
END O
