化 B-DRUG_EFFICACY
浊 I-DRUG_EFFICACY
排 I-DRUG_EFFICACY
毒 I-DRUG_EFFICACY
。 O
用 O
于 O
慢 O
性 O
肾 O
功 O
能 O
衰 O
竭 O
（ O
代 O
偿 O
期 O
、 O
失 O
代 O
偿 O
期 O
和 O
尿 O
毒 O
症 O
早 O
期 O
） O
湿 B-SYNDROME
浊 I-SYNDROME
证 I-SYNDROME
， O
症 O
见 O
恶 B-SYMPTOM
心 I-SYMPTOM
， O
呕 B-SYMPTOM
吐 I-SYMPTOM
， O
纳 B-SYMPTOM
差 I-SYMPTOM
， O
腹 B-SYMPTOM
胀 I-SYMPTOM
， O
身 B-SYMPTOM
重 I-SYMPTOM
困 I-SYMPTOM
倦 I-SYMPTOM
尿 I-SYMPTOM
少 I-SYMPTOM
， O
浮 B-SYMPTOM
肿 I-SYMPTOM
， O
苔 B-SYMPTOM
厚 I-SYMPTOM
腻 I-SYMPTOM
1 O
、 O
在 O
医 O
生 O
的 O
指 O
导 O
下 O
按 O
主 O
治 O
证 O
候 O
用 O
药 O
， O
按 O
时 O
按 O
量 O
服 O
用 O
。 O
2 O
、 O
在 O
医 O
生 O
的 O
指 O
导 O
下 O
， O
根 O
据 O
肾 B-DISEASE
功 I-DISEASE
能 I-DISEASE
衰 I-DISEASE
竭 I-DISEASE
程 O
度 O
注 O
意 O
合 O
理 O
膳 O
食 O
。 O
3 O
、 O
本 O
品 O
可 O
与 O
对 O
肾 O
功 O
能 O
无 O
损 O
害 O
的 O
抗 O
生 O
素 O
、 O
抗 O
高 O
血 O
压 O
药 O
、 O
抗 O
酸 O
、 O
补 O
钙 O
、 O
及 O
纠 O
正 O
肾 O
性 O
贫 O
血 O
等 O
药 O
物 O
使 O
用 O
。 O
但 O
是 O
， O
没 O
有 O
与 O
A O
C O
E O
I O
类 O
制 O
剂 O
使 O
用 O
的 O
经 O
验 O
。 O
4 O
、 O
对 O
有 O
明 O
显 O
出 O
血 O
征 O
象 O
者 O
应 O
慎 O
用 O
。 O
5 O
、 O
使 O
用 O
期 O
间 O
注 O
意 O
观 O
察 O
不 O
良 O
反 O
应 O
。 O
6 O
、 O
儿 B-PERSON_GROUP
童 I-PERSON_GROUP
及 O
岁 B-PERSON_GROUP
以 I-PERSON_GROUP
上 I-PERSON_GROUP
老 I-PERSON_GROUP
人 I-PERSON_GROUP
尚 O
无 O
临 O
床 O
研 O
究 O
资 O
料 O
。 O
END O
