解 B-DRUG_EFFICACY
毒 I-DRUG_EFFICACY
祛 I-DRUG_EFFICACY
湿 I-DRUG_EFFICACY
， O
杀 O
虫 O
止 O
痒 O
。 O
用 O
于 O
湿 B-SYNDROME
毒 I-SYNDROME
下 O
注 O
之 O
阴 B-SYMPTOM
痒 I-SYMPTOM
、 O
带 O
下 O
； O
霉 B-DISEASE
菌 I-DISEASE
性 I-DISEASE
阴 I-DISEASE
道 I-DISEASE
炎 I-DISEASE
和 O
非 O
特 O
异 O
性 O
阴 B-DISEASE
道 I-DISEASE
炎 I-DISEASE
液 B-DRUG_TASTE
体 I-DRUG_TASTE
用 O
于 O
各 O
种 O
阴 B-DISEASE
道 I-DISEASE
炎 I-DISEASE
所 O
致 O
阴 B-SYMPTOM
部 I-SYMPTOM
瘙 I-SYMPTOM
痒 I-SYMPTOM
、 O
白 B-SYMPTOM
带 I-SYMPTOM
异 I-SYMPTOM
常 I-SYMPTOM
注 O
意 O
保 O
持 O
冲 O
洗 O
器 O
的 O
清 O
洁 O
。 O
尚 O
不 O
明 O
确 O
。 O
尚 O
不 O
明 O
确 O
。 O
本 O
品 O
为 O
棕 O
红 O
色 O
液 O
体 O
， O
具 O
烟 O
熏 O
臭 O
。 O
外 O
用 O
。 O
用 O
药 O
前 O
， O
用 O
水 O
清 O
洗 O
阴 O
部 O
后 O
擦 O
干 O
， O
取 O
1 O
0 O
m O
l O
药 O
液 O
于 O
稀 O
释 O
瓶 O
中 O
， O
加 O
温 O
开 O
水 O
至 O
1 O
0 O
0 O
m O
l O
， O
摇 O
匀 O
， O
用 O
稀 O
释 O
后 O
的 O
药 O
液 O
冲 O
洗 O
外 O
阴 O
和 O
阴 O
道 O
， O
一 O
日 O
2 O
次 O
， O
连 O
用 O
七 O
天 O
。 O
重 O
症 O
患 O
者 O
用 O
药 O
应 O
遵 O
医 O
嘱 O
。 O
塑 O
料 O
瓶 O
装 O
， O
1 O
5 O
0 O
m O
l O
/ O
瓶 O
X O
1 O
瓶 O
/ O
盒 O
， O
产 O
品 O
包 O
装 O
内 O
附 O
送 O
冲 O
洗 O
器 O
一 O
套 O
。 O
END O
