清 B-DRUG_EFFICACY
热 I-DRUG_EFFICACY
解 I-DRUG_EFFICACY
毒 I-DRUG_EFFICACY
， O
消 O
肿 O
散 O
结 O
。 O
用 O
于 O
附 B-DISEASE
件 I-DISEASE
炎 I-DISEASE
或 O
附 O
件 O
炎 O
性 O
包 O
块 O
。 O
有 O
效 O
治 O
疗 O
慢 O
性 O
盆 B-DISEASE
腔 I-DISEASE
炎 I-DISEASE
、 O
附 B-DISEASE
件 I-DISEASE
炎 I-DISEASE
、 O
附 O
件 O
炎 O
性 O
包 O
块 O
、 O
宫 B-DISEASE
颈 I-DISEASE
糜 I-DISEASE
烂 I-DISEASE
附 B-DISEASE
件 I-DISEASE
炎 I-DISEASE
性 I-DISEASE
包 I-DISEASE
块 I-DISEASE
附 B-DISEASE
件 I-DISEASE
炎 I-DISEASE
性 I-DISEASE
包 I-DISEASE
块 I-DISEASE
药 O
用 O
复 O
合 O
膜 O
带 O
。 O
每 O
盒 O
装 O
6 O
袋 O
。 O
尚 O
不 O
明 O
确 O
。 O
本 O
品 O
为 O
深 O
棕 O
色 O
的 O
颗 O
粒 O
； O
味 B-DRUG_TASTE
微 I-DRUG_TASTE
苦 I-DRUG_TASTE
、 O
涩 B-DRUG_TASTE
。 O
孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
慎 O
用 O
。 O
口 O
服 O
。 O
6 O
克 O
/ O
次 O
， O
3 O
次 O
/ O
日 O
。 O
3 O
0 O
天 O
一 O
个 O
疗 O
程 O
， O
所 O
有 O
受 O
试 O
者 O
均 O
服 O
用 O
一 O
个 O
疗 O
程 O
。 O
当 O
药 O
品 O
性 O
状 O
发 O
生 O
改 O
变 O
时 O
禁 O
止 O
服 O
用 O
。 O
陕 O
西 O
海 O
天 O
制 O
药 O
有 O
限 O
公 O
司 O
6 O
g O
* O
6 O
袋 O
END O
