孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
禁 O
用 O
。 O
清 B-DRUG_EFFICACY
热 I-DRUG_EFFICACY
解 I-DRUG_EFFICACY
毒 I-DRUG_EFFICACY
， O
去 O
瘀 O
生 O
新 O
。 O
用 O
于 O
湿 O
热 O
下 O
注 O
所 O
致 O
慢 O
性 O
宫 O
颈 O
炎 O
， O
子 O
宫 O
内 O
膜 O
炎 O
， O
阴 O
道 O
炎 O
， O
白 B-SYMPTOM
带 I-SYMPTOM
阴 B-DISEASE
道 I-DISEASE
炎 I-DISEASE
慢 B-DISEASE
性 I-DISEASE
宫 I-DISEASE
颈 I-DISEASE
炎 I-DISEASE
， O
子 B-DISEASE
宫 I-DISEASE
内 I-DISEASE
膜 I-DISEASE
炎 I-DISEASE
尚 O
不 O
明 O
确 O
。 O
0 O
. O
5 O
g O
* O
2 O
4 O
s O
本 O
品 O
为 O
薄 B-DRUG_DOSAGE
膜 I-DRUG_DOSAGE
衣 I-DRUG_DOSAGE
片 I-DRUG_DOSAGE
， O
除 O
去 O
包 O
衣 O
后 O
显 O
棕 O
色 O
至 O
棕 O
褐 O
色 O
； O
味 B-DRUG_TASTE
微 I-DRUG_TASTE
苦 I-DRUG_TASTE
。 O
口 O
服 O
， O
一 O
次 O
6 O
片 O
， O
一 O
日 O
2 O
次 O
。 O
尚 O
不 O
明 O
确 O
。 O
每 O
盒 O
装 O
2 O
板 O
， O
每 O
板 O
1 O
2 O
片 O
。 O
湖 O
北 O
广 O
仁 O
药 O
业 O
有 O
限 O
公 O
司 O
END O
