补 B-DRUG_EFFICACY
肾 I-DRUG_EFFICACY
填 I-DRUG_EFFICACY
精 I-DRUG_EFFICACY
。 O
用 O
于 O
肾 B-SYMPTOM
气 I-SYMPTOM
不 I-SYMPTOM
足 I-SYMPTOM
， O
腰 B-SYMPTOM
膝 I-SYMPTOM
痠 I-SYMPTOM
软 I-SYMPTOM
， O
记 B-SYMPTOM
忆 I-SYMPTOM
减 I-SYMPTOM
退 I-SYMPTOM
， O
头 B-SYMPTOM
晕 I-SYMPTOM
耳 I-SYMPTOM
鸣 I-SYMPTOM
， O
四 B-SYMPTOM
肢 I-SYMPTOM
无 I-SYMPTOM
力 I-SYMPTOM
1 O
. O
忌 O
辛 B-FOOD_GROUP
辣 I-FOOD_GROUP
、 O
生 B-FOOD_GROUP
冷 I-FOOD_GROUP
食 O
物 O
。 O
< O
b O
r O
/ O
> O
< O
b O
r O
/ O
> O
2 O
. O
感 B-DISEASE
冒 I-DISEASE
发 B-SYMPTOM
热 I-SYMPTOM
病 O
人 O
不 O
宜 O
服 O
用 O
。 O
< O
b O
r O
/ O
> O
< O
b O
r O
/ O
> O
3 O
. O
有 O
高 B-DISEASE
血 I-DISEASE
压 I-DISEASE
、 O
心 O
脏 O
病 O
、 O
肝 B-FOOD_GROUP
病 I-FOOD_GROUP
、 O
糖 B-FOOD_GROUP
尿 I-FOOD_GROUP
病 I-FOOD_GROUP
、 O
肾 B-FOOD_GROUP
病 I-FOOD_GROUP
等 O
慢 B-FOOD_GROUP
性 I-FOOD_GROUP
病 I-FOOD_GROUP
严 O
重 O
者 O
应 O
在 O
医 O
师 O
指 O
导 O
下 O
服 O
用 O
。 O
< O
b O
r O
/ O
> O
< O
b O
r O
/ O
> O
4 O
. O
青 B-PERSON_GROUP
春 I-PERSON_GROUP
期 I-PERSON_GROUP
少 I-PERSON_GROUP
女 I-PERSON_GROUP
及 O
更 B-PERSON_GROUP
年 I-PERSON_GROUP
期 I-PERSON_GROUP
妇 I-PERSON_GROUP
女 I-PERSON_GROUP
应 O
在 O
医 O
师 O
指 O
导 O
下 O
服 O
用 O
。 O
< O
b O
r O
/ O
> O
< O
b O
r O
/ O
> O
5 O
. O
平 O
素 O
月 O
经 O
正 O
常 O
， O
突 O
然 O
出 O
现 O
月 B-SYMPTOM
经 I-SYMPTOM
过 I-SYMPTOM
少 I-SYMPTOM
， O
或 O
经 B-SYMPTOM
期 I-SYMPTOM
错 I-SYMPTOM
后 I-SYMPTOM
， O
或 O
阴 B-SYMPTOM
道 I-SYMPTOM
不 I-SYMPTOM
规 I-SYMPTOM
则 I-SYMPTOM
出 I-SYMPTOM
血 I-SYMPTOM
者 O
应 O
去 O
医 O
院 O
就 O
诊 O
。 O
< O
b O
r O
/ O
> O
< O
b O
r O
/ O
> O
6 O
. O
服 O
药 O
1 O
个 O
月 O
症 O
状 O
无 O
缓 O
解 O
， O
应 O
去 O
医 O
院 O
就 O
诊 O
。 O
END O
