呼 B-DISEASE_GROUP
吸 I-DISEASE_GROUP
道 I-DISEASE_GROUP
疾 I-DISEASE_GROUP
病 I-DISEASE_GROUP
口 O
服 O
。 O
一 O
次 O
6 O
片 O
， O
一 O
日 O
3 O
次 O
。 O
孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
慎 O
用 O
。 O
清 B-DRUG_EFFICACY
热 I-DRUG_EFFICACY
解 I-DRUG_EFFICACY
毒 I-DRUG_EFFICACY
， O
健 B-DRUG_EFFICACY
脾 I-DRUG_EFFICACY
除 I-DRUG_EFFICACY
湿 I-DRUG_EFFICACY
， O
通 O
络 O
活 O
血 O
。 O
用 O
于 O
湿 O
热 O
下 O
注 O
引 O
起 O
的 O
附 B-DISEASE
件 I-DISEASE
炎 I-DISEASE
， O
子 B-DISEASE
宫 I-DISEASE
内 I-DISEASE
膜 I-DISEASE
炎 I-DISEASE
， O
盆 B-DISEASE
腔 I-DISEASE
炎 I-DISEASE
湿 B-SYNDROME
热 I-SYNDROME
下 I-SYNDROME
注 I-SYNDROME
广 O
东 O
益 O
和 O
堂 O
制 O
药 O
有 O
限 O
公 O
司 O
非 O
处 O
方 O
药 O
物 O
（ O
甲 O
类 O
） O
每 O
片 O
重 O
0 O
. O
2 O
8 O
g O
END O
