子 B-DRUG_GROUP
宫 I-DRUG_GROUP
疾 I-DRUG_GROUP
病 I-DRUG_GROUP
用 I-DRUG_GROUP
药 I-DRUG_GROUP
如 O
与 O
其 O
他 O
药 O
物 O
同 O
时 O
使 O
用 O
可 O
能 O
会 O
发 O
生 O
药 O
物 O
相 O
互 O
作 O
用 O
， O
详 O
情 O
请 O
咨 O
询 O
医 O
师 O
或 O
药 O
师 O
。 O
0 O
. O
4 O
g O
* O
1 O
5 O
粒 O
* O
4 O
盒 O
口 O
服 O
， O
一 O
次 O
4 O
粒 O
， O
一 O
日 O
3 O
次 O
。 O
国 O
家 O
基 O
本 O
药 O
物 O
目 O
录 O
（ O
2 O
0 O
1 O
2 O
） O
丸 B-DRUG_DOSAGE
剂 I-DRUG_DOSAGE
( O
大 B-DRUG_DOSAGE
蜜 I-DRUG_DOSAGE
丸 I-DRUG_DOSAGE
) O
用 O
于 O
妇 O
人 O
宿 B-SYMPTOM
有 I-SYMPTOM
瘕 I-SYMPTOM
块 I-SYMPTOM
， O
或 O
血 B-SYNDROME
瘀 I-SYNDROME
经 O
闭 O
， O
行 B-SYMPTOM
经 I-SYMPTOM
腹 I-SYMPTOM
痛 I-SYMPTOM
， O
产 O
后 O
恶 O
露 O
不 O
尽 O
经 B-SYMPTOM
闭 I-SYMPTOM
， O
行 O
经 O
腹 O
痛 O
， O
产 O
后 O
恶 O
露 O
不 O
尽 O
补 B-SYMPTOM
肾 I-SYMPTOM
益 I-SYMPTOM
气 I-SYMPTOM
， O
化 B-SYMPTOM
瘀 I-SYMPTOM
通 I-SYMPTOM
淋 I-SYMPTOM
。 O
用 O
于 O
肾 B-SYNDROME
脾 I-SYNDROME
双 I-SYNDROME
虚 I-SYNDROME
， O
气 B-SYNDROME
滞 I-SYNDROME
血 O
瘀 O
， O
前 O
列 O
腺 O
增 O
生 O
， O
慢 B-DISEASE
性 I-DISEASE
前 I-DISEASE
列 I-DISEASE
腺 I-DISEASE
炎 I-DISEASE
血 B-SYNDROME
瘀 I-SYNDROME
， O
前 O
列 O
腺 O
增 O
生 O
， O
慢 O
性 O
前 O
列 O
腺 O
炎 O
； O
面 B-SYMPTOM
色 I-SYMPTOM
晃 I-SYMPTOM
白 I-SYMPTOM
， O
神 B-SYMPTOM
疲 I-SYMPTOM
乏 I-SYMPTOM
力 I-SYMPTOM
， O
腰 B-SYMPTOM
膝 I-SYMPTOM
疲 I-SYMPTOM
软 I-SYMPTOM
无 I-SYMPTOM
力 I-SYMPTOM
， O
小 B-SYMPTOM
腹 I-SYMPTOM
坠 I-SYMPTOM
胀 I-SYMPTOM
， O
小 B-SYMPTOM
便 I-SYMPTOM
不 I-SYMPTOM
爽 I-SYMPTOM
， O
点 O
滴 O
不 O
出 O
， O
或 O
尿 B-SYMPTOM
频 I-SYMPTOM
、 O
尿 B-SYMPTOM
急 I-SYMPTOM
、 O
尿 B-SYMPTOM
道 I-SYMPTOM
涩 I-SYMPTOM
痛 I-SYMPTOM
临 O
江 O
市 O
宏 O
大 O
药 O
业 O
有 O
限 O
公 O
司 O
END O
