养 B-DRUG_EFFICACY
血 I-DRUG_EFFICACY
调 I-DRUG_EFFICACY
经 I-DRUG_EFFICACY
。 O
用 O
于 O
月 B-SYMPTOM
经 I-SYMPTOM
不 I-SYMPTOM
调 I-SYMPTOM
， O
经 B-SYMPTOM
量 I-SYMPTOM
少 I-SYMPTOM
如 O
与 O
其 O
它 O
药 O
物 O
同 O
时 O
使 O
用 O
可 O
能 O
会 O
发 O
生 O
药 O
物 O
相 O
互 O
作 O
用 O
， O
详 O
情 O
请 O
咨 O
询 O
医 O
师 O
或 O
药 O
师 O
。 O
塑 O
料 O
瓶 O
装 O
， O
每 O
瓶 O
2 O
0 O
0 O
g O
。 O
2 O
0 O
0 O
g O
/ O
瓶 O
本 O
品 O
为 O
黑 O
褐 O
色 O
稠 O
厚 O
的 O
半 B-DRUG_DOSAGE
流 I-DRUG_DOSAGE
体 I-DRUG_DOSAGE
； O
气 B-DRUG_TASTE
微 I-DRUG_TASTE
， O
味 B-DRUG_TASTE
苦 I-DRUG_TASTE
、 O
甜 B-DRUG_TASTE
。 O
口 O
服 O
， O
一 O
次 O
1 O
5 O
克 O
， O
一 O
日 O
2 O
次 O
1 O
. O
忌 O
食 O
寒 O
凉 O
、 O
生 B-FOOD_GROUP
冷 I-FOOD_GROUP
寒 B-FOOD_GROUP
凉 I-FOOD_GROUP
、 O
生 O
冷 O
食 O
物 O
。 O
< O
b O
r O
/ O
> O
2 O
. O
糖 B-DISEASE
尿 I-DISEASE
病 I-DISEASE
患 O
者 O
慎 O
服 O
。 O
< O
b O
r O
/ O
> O
3 O
. O
感 O
冒 O
时 O
不 O
宜 O
服 O
用 O
本 O
药 O
。 O
< O
b O
r O
/ O
> O
4 O
. O
月 B-PERSON_GROUP
经 I-PERSON_GROUP
过 I-PERSON_GROUP
多 I-PERSON_GROUP
者 I-PERSON_GROUP
感 B-DISEASE
冒 I-DISEASE
时 O
不 O
宜 O
服 O
用 O
本 O
药 O
。 O
< O
b O
r O
/ O
> O
4 O
. O
月 O
经 O
过 O
多 O
者 O
不 O
宜 O
服 O
用 O
本 O
药 O
。 O
< O
b O
r O
/ O
> O
5 O
. O
平 O
素 O
月 O
经 O
正 O
常 O
， O
突 O
然 O
出 O
现 O
月 B-SYMPTOM
经 I-SYMPTOM
量 I-SYMPTOM
少 I-SYMPTOM
， O
或 O
月 B-SYMPTOM
经 I-SYMPTOM
错 I-SYMPTOM
后 I-SYMPTOM
， O
或 O
阴 O
道 O
不 O
规 O
则 O
出 O
血 O
应 O
去 O
医 O
院 O
就 O
诊 O
。 O
END O
