益 B-DRUG_EFFICACY
气 I-DRUG_EFFICACY
补 I-DRUG_EFFICACY
血 I-DRUG_EFFICACY
武 O
汉 O
联 O
合 O
药 O
业 O
有 O
限 O
责 O
任 O
公 O
司 O
如 O
与 O
其 O
他 O
药 O
物 O
同 O
时 O
使 O
用 O
可 O
能 O
会 O
发 O
生 O
药 O
物 O
相 O
互 O
作 O
用 O
， O
详 O
情 O
请 O
咨 O
询 O
医 O
师 O
或 O
药 O
师 O
。 O
口 O
服 O
。 O
轻 O
度 O
缺 O
铁 O
性 O
贫 B-DISEASE
血 I-DISEASE
患 O
者 O
， O
一 O
次 O
2 O
片 O
， O
一 O
日 O
2 O
次 O
； O
中 O
、 O
重 O
度 O
患 O
者 O
， O
一 O
次 O
2 O
片 O
， O
一 O
日 O
3 O
次 O
； O
儿 O
童 O
患 O
者 O
， O
一 O
次 O
1 O
片 O
， O
一 O
日 O
3 O
次 O
。 O
3 O
0 O
天 O
为 O
一 O
疗 O
程 O
。 O
本 O
品 O
为 O
薄 B-DRUG_DOSAGE
膜 I-DRUG_DOSAGE
衣 I-DRUG_DOSAGE
片 I-DRUG_DOSAGE
， O
除 O
去 O
薄 O
膜 O
衣 O
后 O
显 O
灰 O
绿 O
色 O
或 O
灰 O
黑 O
色 O
； O
味 B-DRUG_TASTE
酸 I-DRUG_TASTE
、 O
甜 B-DRUG_TASTE
。 O
服 O
药 O
期 O
间 O
注 O
意 O
复 O
查 O
血 O
常 O
规 O
、 O
血 O
清 O
铁 O
等 O
相 O
关 O
生 O
化 O
指 O
标 O
， O
以 O
指 O
导 O
治 O
疗 O
。 O
铝 O
塑 O
包 O
装 O
， O
每 O
盒 O
2 O
4 O
片 O
。 O
0 O
. O
2 O
5 O
g O
* O
2 O
4 O
片 O
/ O
盒 O
少 O
数 O
患 O
者 O
用 O
药 O
后 O
可 O
见 O
上 B-SYMPTOM
腹 I-SYMPTOM
不 I-SYMPTOM
适 I-SYMPTOM
， O
恶 B-SYMPTOM
心 I-SYMPTOM
； O
个 O
别 O
患 O
者 O
大 O
便 O
次 O
数 O
增 O
多 O
， O
出 O
现 O
皮 B-SYMPTOM
疹 I-SYMPTOM
。 O
END O
