薄 B-DRUG_DOSAGE
膜 I-DRUG_DOSAGE
衣 I-DRUG_DOSAGE
片 I-DRUG_DOSAGE
每 O
片 O
重 O
0 O
. O
3 O
2 O
g O
口 O
服 O
。 O
一 O
次 O
4 O
片 O
， O
一 O
日 O
4 O
次 O
。 O
养 O
血 O
调 B-DRUG_EFFICACY
经 I-DRUG_EFFICACY
止 I-DRUG_EFFICACY
痛 I-DRUG_EFFICACY
， O
用 O
于 O
月 B-SYMPTOM
经 I-SYMPTOM
不 I-SYMPTOM
调 I-SYMPTOM
， O
经 B-SYMPTOM
期 I-SYMPTOM
腹 I-SYMPTOM
痛 I-SYMPTOM
上 O
海 O
雷 O
允 O
上 O
药 O
业 O
有 O
限 O
公 O
司 O
非 O
处 O
方 O
药 O
物 O
（ O
乙 O
类 O
） O
孕 O
妇 O
忌 O
服 O
。 O
密 O
封 O
。 O
有 O
效 O
期 O
3 O
6 O
个 O
月 O
。 O
尚 O
不 O
明 O
确 O
。 O
养 B-DRUG_EFFICACY
血 I-DRUG_EFFICACY
， O
调 B-DRUG_EFFICACY
经 I-DRUG_EFFICACY
， O
止 B-DRUG_EFFICACY
痛 I-DRUG_EFFICACY
。 O
用 O
于 O
月 B-SYMPTOM
经 I-SYMPTOM
不 I-SYMPTOM
调 I-SYMPTOM
， O
经 B-SYMPTOM
期 I-SYMPTOM
腹 I-SYMPTOM
痛 I-SYMPTOM
END O
